Name of the script:,Incoming_Test(5_point_Meas)_Bench25
Start Date:,1/16/2024 4:40:09 PM
S/N :,109660702
Operator Name:,ErikNakov
DUT Var:,DN5
Description of this test:,IncommingTest_5-points
DUT Ref:,DUT1#2_DN7(7-inch)
No.,Date Time, Mode,Humidity, Temperature,Voltage_Ref,Time,Current (A) ,Time, Sence (V),Time,CANStatus,Time,DTC,Time,Reset counter,Cause,Time,Bouton_IN (CAFR or LKA),Bouton_OUT (STT),Dimming,
69,1/16/2024 18:39:52,Off Mode,72.3,-10.5,0.0,01/16/2024  18:38:45,0.000045,01/16/2024  18:38:45,0,01/16/2024  18:38:22,-1,01/16/2024  18:38:18,,01/16/2024  18:38:18,-2,No response,01/16/2024  18:38:31,Inactive,Active,0,
70,1/16/2024 18:41:33,Off Mode,68.7,-7.2,0.0,01/16/2024  18:40:26,0.000044,01/16/2024  18:40:26,0,01/16/2024  18:40:03,-1,01/16/2024  18:39:59,,01/16/2024  18:39:59,-2,No response,01/16/2024  18:40:12,Inactive,Active,0,
71,1/16/2024 18:43:15,Off Mode,66.3,-3.9,0.0,01/16/2024  18:42:08,0.000045,01/16/2024  18:42:08,0,01/16/2024  18:41:44,-1,01/16/2024  18:41:40,,01/16/2024  18:41:40,-2,No response,01/16/2024  18:41:54,Inactive,Active,0,
72,1/16/2024 18:44:56,Off Mode,64.9,-0.6,0.0,01/16/2024  18:43:49,0.000047,01/16/2024  18:43:49,0,01/16/2024  18:43:26,-1,01/16/2024  18:43:22,,01/16/2024  18:43:22,-2,No response,01/16/2024  18:43:35,Inactive,Active,0,
73,1/16/2024 18:46:38,Off Mode,62.8,2.8,0.0,01/16/2024  18:45:31,0.000044,01/16/2024  18:45:31,0,01/16/2024  18:45:07,-1,01/16/2024  18:45:04,,01/16/2024  18:45:04,-2,No response,01/16/2024  18:45:17,Inactive,Active,0,
74,1/16/2024 18:48:19,Off Mode,60.3,6.1,0.0,01/16/2024  18:47:12,0.000045,01/16/2024  18:47:12,0,01/16/2024  18:46:49,-1,01/16/2024  18:46:45,,01/16/2024  18:46:45,-2,No response,01/16/2024  18:46:58,Inactive,Active,0,
75,1/16/2024 18:50:00,Off Mode,57.3,9.4,0.0,01/16/2024  18:48:53,0.000045,01/16/2024  18:48:53,0,01/16/2024  18:48:30,-1,01/16/2024  18:48:26,,01/16/2024  18:48:26,-2,No response,01/16/2024  18:48:39,Inactive,Active,0,
76,1/16/2024 18:51:42,Off Mode,54.7,12.7,0.0,01/16/2024  18:50:35,0.000044,01/16/2024  18:50:35,0,01/16/2024  18:50:11,-1,01/16/2024  18:50:07,,01/16/2024  18:50:07,-2,No response,01/16/2024  18:50:21,Inactive,Active,0,
77,1/16/2024 18:53:23,Off Mode,52.6,16.1,0.0,01/16/2024  18:52:16,0.000047,01/16/2024  18:52:16,0,01/16/2024  18:51:53,-1,01/16/2024  18:51:49,,01/16/2024  18:51:49,-2,No response,01/16/2024  18:52:02,Inactive,Active,0,
78,1/16/2024 18:55:05,Off Mode,52.2,18.7,0.0,01/16/2024  18:53:58,0.000043,01/16/2024  18:53:58,0,01/16/2024  18:53:34,-1,01/16/2024  18:53:30,,01/16/2024  18:53:31,-2,No response,01/16/2024  18:53:44,Inactive,Active,0,
79,1/16/2024 18:56:46,Off Mode,53.9,20.0,0.0,01/16/2024  18:55:39,0.000046,01/16/2024  18:55:39,0,01/16/2024  18:55:16,-1,01/16/2024  18:55:12,,01/16/2024  18:55:12,-2,No response,01/16/2024  18:55:25,Inactive,Active,0,
80,1/16/2024 18:58:28,Off Mode,56.5,20.8,0.0,01/16/2024  18:57:21,0.000046,01/16/2024  18:57:21,0,01/16/2024  18:56:57,-1,01/16/2024  18:56:53,,01/16/2024  18:56:53,-2,No response,01/16/2024  18:57:07,Inactive,Active,0,
81,1/16/2024 19:00:09,Off Mode,58.9,21.3,0.0,01/16/2024  18:59:02,0.000045,01/16/2024  18:59:02,0,01/16/2024  18:58:39,-1,01/16/2024  18:58:35,,01/16/2024  18:58:35,-2,No response,01/16/2024  18:58:48,Inactive,Active,0,
82,1/16/2024 19:01:51,Off Mode,61.2,21.6,0.0,01/16/2024  19:00:44,0.000044,01/16/2024  19:00:44,0,01/16/2024  19:00:20,-1,01/16/2024  19:00:16,,01/16/2024  19:00:16,-2,No response,01/16/2024  19:00:30,Inactive,Active,0,
83,1/16/2024 19:03:32,Off Mode,63.6,21.8,0.0,01/16/2024  19:02:25,0.000044,01/16/2024  19:02:25,0,01/16/2024  19:02:02,-1,01/16/2024  19:01:58,,01/16/2024  19:01:58,-2,No response,01/16/2024  19:02:11,Inactive,Active,0,
84,1/16/2024 19:05:14,Off Mode,65.5,21.9,0.0,01/16/2024  19:04:07,0.000044,01/16/2024  19:04:07,0,01/16/2024  19:03:43,-1,01/16/2024  19:03:40,,01/16/2024  19:03:40,-2,No response,01/16/2024  19:03:53,Inactive,Active,0,
85,1/16/2024 19:06:55,Off Mode,67.0,22.1,0.0,01/16/2024  19:05:48,0.000041,01/16/2024  19:05:48,0,01/16/2024  19:05:25,-1,01/16/2024  19:05:21,,01/16/2024  19:05:21,-2,No response,01/16/2024  19:05:34,Inactive,Active,0,
86,1/16/2024 19:08:36,Off Mode,68.5,22.1,0.0,01/16/2024  19:07:29,0.000047,01/16/2024  19:07:29,0,01/16/2024  19:07:06,-1,01/16/2024  19:07:02,,01/16/2024  19:07:02,-2,No response,01/16/2024  19:07:15,Inactive,Active,0,
87,1/16/2024 19:10:18,Off Mode,70.0,22.0,0.0,01/16/2024  19:09:10,0.000047,01/16/2024  19:09:10,0,01/16/2024  19:08:47,-1,01/16/2024  19:08:43,,01/16/2024  19:08:43,-2,No response,01/16/2024  19:08:56,Inactive,Active,0,
88,1/16/2024 19:11:59,Off Mode,71.0,22.1,0.0,01/16/2024  19:10:52,0.000042,01/16/2024  19:10:52,0,01/16/2024  19:10:28,-1,01/16/2024  19:10:25,,01/16/2024  19:10:25,-2,No response,01/16/2024  19:10:38,Inactive,Active,0,
89,1/16/2024 19:13:41,Off Mode,71.6,22.1,0.0,01/16/2024  19:12:34,0.000044,01/16/2024  19:12:34,0,01/16/2024  19:12:10,-1,01/16/2024  19:12:06,,01/16/2024  19:12:06,-2,No response,01/16/2024  19:12:19,Inactive,Active,0,
90,1/16/2024 19:15:22,Off Mode,72.2,22.2,0.0,01/16/2024  19:14:15,0.000045,01/16/2024  19:14:15,0,01/16/2024  19:13:52,-1,01/16/2024  19:13:48,,01/16/2024  19:13:48,-2,No response,01/16/2024  19:14:01,Inactive,Active,0,
